"module name","license","repository"
"unimport@5.0.1","MIT","https://github.com/unjs/unimport"
"unplugin-vue-router@0.12.0","MIT","https://github.com/posva/unplugin-vue-router"
"unstorage@1.16.0","MIT","https://github.com/unjs/unstorage"
"utility-types@3.11.0","MIT","https://github.com/piotrwitek/utility-types"
"vite-plugin-vue-tracer@0.1.3","MIT","https://github.com/antfu/vite-plugin-vue-tracer"
"vitest-environment-nuxt@1.0.1","MIT",""
"vitest@3.1.4","MIT","https://github.com/vitest-dev/vitest"
"vue-bundle-renderer@2.1.1","MIT","https://github.com/nuxt-contrib/vue-bundle-renderer"
"vue-component-type-helpers@2.2.10","MIT","https://github.com/vuejs/language-tools"
"vue-demi@0.13.11","MIT","https://github.com/antfu/vue-demi"
"vue-devtools-stub@0.1.0","MIT","https://github.com/nuxt-contrib/vue-devtools-stub"
"vue-eslint-parser@10.1.3","MIT","https://github.com/vuejs/vue-eslint-parser"
"vue-i18n@10.0.7","MIT","https://github.com/intlify/vue-i18n"
"vue-router@4.5.1","MIT","https://github.com/vuejs/router"
"vue-slider-component@4.1.0-beta.7","MIT","https://github.com/NightCatSama/vue-slider-component"
"vue-tsc@2.2.10","MIT","https://github.com/vuejs/language-tools"
"vue@3.5.14","MIT","https://github.com/vuejs/core"
